"","Date","PM2.5.AQI.Value","Site.Name","Site.ID","Source","X20.year.High..2000.2019.","X20.year.Low..2000.2019.","X5.year.Average..2015.2019.","Date.of.20.year.High","Date.of.20.year.Low"
"145","05/24/2016",25,"Donovan","06-073-1014","AQS",73,25,"39","05/24/2001","05/24/2016"
"146","05/25/2016",20,"Donovan","06-073-1014","AQS",65,20,"31.2","05/25/2001","05/25/2016"
"147","05/26/2016",46,"Donovan","06-073-1014","AQS",74,18,"31.4","05/26/2005","05/26/2017"
"148","05/27/2016",52,"Donovan","06-073-1014","AQS",67,14,"33.8","05/27/2009","05/27/2017"
"149","05/28/2016",54,"Donovan","06-073-1014","AQS",67,27,"40.6","05/28/2009","05/28/2017"
"150","05/29/2016",38,"Donovan","06-073-1014","AQS",62,26,"50.2","05/29/2003","05/29/2008"
"151","05/30/2016",36,"Donovan","06-073-1014","AQS",68,35,"54.4","05/30/2015","05/30/2009"
"152","05/31/2016",51,"Alpine","06-073-1006","AQS",86,30,"53","05/31/2001","05/31/2009"
"153","06/01/2016",63,"Donovan","06-073-1014","AQS",181,30,"49.6","06/01/2010","06/01/2017"
"154","06/02/2016",65,"Donovan","06-073-1014","AQS",68,27,"52.2","06/02/2013","06/02/2005"
"155","06/03/2016",63,"Donovan","06-073-1014","AQS",63,35,"53","06/03/2016","06/03/2001"
"156","06/04/2016",65,"Donovan","06-073-1014","AQS",65,25,"51.6","06/04/2016","06/04/2008"
"157","06/05/2016",56,"Donovan","06-073-1014","AQS",85,17,"54.2","06/05/2002","06/05/2009"
"158","06/06/2016",46,"Donovan","06-073-1014","AQS",91,19,"47.8","06/06/2001","06/06/2009"
"159","06/07/2016",43,"Alpine","06-073-1006","AQS",76,22,"48.2","06/07/2001","06/07/2009"
"160","06/08/2016",51,"Donovan","06-073-1014","AQS",79,27,"52.4","06/08/2001","06/08/2000"
"161","06/09/2016",54,"Donovan","06-073-1014","AQS",76,21,"51.4","06/09/2001","06/09/2003"
"162","06/10/2016",51,"Donovan","06-073-1014","AQS",76,21,"51.8","06/10/2019","06/10/2003"
"163","06/11/2016",45,"Alpine","06-073-1006","AQS",70,26,"44.6","06/11/2012","06/11/2017"
"164","06/12/2016",40,"Donovan","06-073-1014","AQS",67,0,"46.4","06/12/2012","06/12/2000"
"165","06/13/2016",42,"Donovan","06-073-1014","AQS",80,28,"44.6","06/13/2006","06/13/2015"
"166","06/14/2016",51,"Alpine","06-073-1006","AQS",81,33,"52.6","06/14/2000","06/14/2015"
"167","06/15/2016",58,"Donovan","06-073-1014","AQS",84,28,"57","06/15/2010","06/15/2009"
"168","06/16/2016",59,"Donovan","06-073-1014","AQS",75,15,"60","06/16/2010","06/16/2008"
"169","06/17/2016",80,"Donovan","06-073-1014","AQS",85,31,"62.4","06/17/2003","06/17/2005"
"170","06/18/2016",97,"Donovan","06-073-1014","AQS",97,24,"54.2","06/18/2016","06/18/2005"
"171","06/19/2016",81,"Donovan","06-073-1014","AQS",92,31,"56.2","06/19/2002","06/19/2005"
"172","06/20/2016",74,"San Ysidro","06-073-1024","AQS",74,34,"60.8","06/20/2016","06/20/2003"
"173","06/21/2016",67,"Donovan","06-073-1014","AQS",76,32,"55.6","06/21/2002","06/21/2008"
"174","06/22/2016",66,"Donovan","06-073-1014","AQS",67,24,"51.2","06/22/2011","06/22/2019"
"175","06/23/2016",58,"Alpine","06-073-1006","AQS",68,34,"50.6","06/23/2008","06/23/2019"
"176","06/24/2016",67,"Donovan","06-073-1014","AQS",70,41,"56.6","06/24/2010","06/24/2017"
"177","06/25/2016",69,"Donovan","06-073-1014","AQS",69,36,"59.8","06/25/2016","06/25/2005"
"178","06/26/2016",66,"Alpine","06-073-1006","AQS",75,22,"61.6","06/26/2017","06/26/2010"
"179","06/27/2016",68,"Donovan","06-073-1014","AQS",95,27,"58.2","06/27/2001","06/27/2010"
"180","06/28/2016",57,"Camp Pendleton","06-073-1008","AQS",69,29,"50.2","06/28/2008","06/28/2001"
"181","06/29/2016",61,"Camp Pendleton","06-073-1008","AQS",66,25,"53.6","06/29/2009","06/29/2010"
"182","06/30/2016",71,"Donovan","06-073-1014","AQS",76,31,"62.8","06/30/2001","06/30/2011"
"183","07/01/2016",66,"Alpine","06-073-1006","AQS",77,18,"60.8","07/01/2010","07/01/2004"
"184","07/02/2016",54,"Alpine","06-073-1006","AQS",76,29,"52.2","07/02/2008","07/02/2018"
"185","07/03/2016",52,"Alpine","06-073-1006","AQS",93,36,"50.2","07/03/2008","07/03/2002"
"186","07/04/2016",53,"Camp Pendleton","06-073-1008","AQS",107,34,"51","07/04/2008","07/04/2015"
"187","07/05/2016",47,"Alpine","06-073-1006","AQS",117,25,"52.2","07/05/2008","07/05/2015"
"188","07/06/2016",41,"Alpine","06-073-1006","AQS",82,22,"49.8","07/06/2008","07/06/2013"
"189","07/07/2016",52,"Donovan","06-073-1014","AQS",81,30,"55.6","07/07/2008","07/07/2013"
"190","07/08/2016",53,"Alpine","06-073-1006","AQS",80,33,"61","07/08/2008","07/08/2004"
"191","07/09/2016",51,"El Cajon - Lexington Elementary School","06-073-1022","AQS",79,30,"58","07/09/2008","07/09/2004"
"192","07/10/2016",54,"San Ysidro","06-073-1024","AQS",65,27,"54.2","07/10/2019","07/10/2015"
"193","07/11/2016",62,"Donovan","06-073-1014","AQS",73,18,"52","07/11/2012","07/11/2015"
"194","07/12/2016",64,"Donovan","06-073-1014","AQS",72,25,"50.8","07/12/2012","07/12/2015"
"195","07/13/2016",60,"Donovan","06-073-1014","AQS",75,36,"55.2","07/13/2012","07/13/2007"
"196","07/14/2016",64,"El Cajon - Lexington Elementary School","06-073-1022","AQS",75,37,"55","07/14/2019","07/14/2017"
"197","07/15/2016",62,"Donovan","06-073-1014","AQS",74,40,"59.6","07/15/2019","07/15/2000"
"198","07/16/2016",56,"El Cajon - Lexington Elementary School","06-073-1022","AQS",73,39,"58.4","07/16/2019","07/16/2001"
"199","07/17/2016",54,"El Cajon - Lexington Elementary School","06-073-1022","AQS",73,34,"55.4","07/17/2003","07/17/2014"
"200","07/18/2016",51,"Donovan","06-073-1014","AQS",64,24,"51.8","07/18/2019","07/18/2014"
"201","07/19/2016",52,"Donovan","06-073-1014","AQS",65,28,"50.6","07/19/2000","07/19/2014"
"202","07/20/2016",58,"Donovan","06-073-1014","AQS",70,25,"48","07/20/2000","07/20/2015"
"203","07/21/2016",65,"Donovan","06-073-1014","AQS",75,10,"42.6","07/21/2000","07/21/2015"
"204","07/22/2016",74,"Donovan","06-073-1014","AQS",74,18,"46.6","07/22/2016","07/22/2015"
"205","07/23/2016",68,"Donovan","06-073-1014","AQS",68,25,"49.4","07/23/2016","07/23/2015"
"206","07/24/2016",65,"El Cajon - Lexington Elementary School","06-073-1022","AQS",68,38,"53","07/24/2006","07/24/2013"
"207","07/25/2016",68,"El Cajon - Lexington Elementary School","06-073-1022","AQS",79,30,"54.4","07/25/2008","07/25/2013"
"208","07/26/2016",60,"El Cajon - Lexington Elementary School","06-073-1022","AQS",73,30,"54.4","07/26/2008","07/26/2017"
"209","07/27/2016",53,"El Cajon - Lexington Elementary School","06-073-1022","AQS",71,40,"54","07/27/2018","07/27/2015"
"210","07/28/2016",53,"El Cajon - Lexington Elementary School","06-073-1022","AQS",71,28,"56.4","07/28/2008","07/28/2006"
"211","07/29/2016",62,"Alpine","06-073-1006","AQS",69,19,"60.8","07/29/2019","07/29/2006"
"212","07/30/2016",62,"Alpine","06-073-1006","AQS",77,17,"60.8","07/30/2019","07/30/2006"
"213","07/31/2016",57,"Alpine","06-073-1006","AQS",76,21,"58.6","07/31/2019","07/31/2006"
"214","08/01/2016",52,"Alpine","06-073-1006","AQS",78,32,"55.8","08/01/2019","08/01/2006"
"215","08/02/2016",41,"Alpine","06-073-1006","AQS",72,35,"54","08/02/2019","08/02/2006"
"216","08/03/2016",49,"El Cajon - Lexington Elementary School","06-073-1022","AQS",69,33,"55.4","08/03/2019","08/03/2003"
"217","08/04/2016",56,"El Cajon - Lexington Elementary School","06-073-1022","AQS",62,32,"55.4","08/04/2002","08/04/2006"
"218","08/05/2016",58,"Alpine","06-073-1006","AQS",65,34,"56.6","08/05/2008","08/05/2014"
"219","08/06/2016",57,"El Cajon - Lexington Elementary School","06-073-1022","AQS",66,35,"59.4","08/06/2018","08/06/2007"
"220","08/07/2016",56,"El Cajon - Lexington Elementary School","06-073-1022","AQS",75,34,"58.4","08/07/2019","08/07/2009"
"221","08/08/2016",63,"El Cajon - Lexington Elementary School","06-073-1022","AQS",71,36,"62","08/08/2019","08/08/2013"
"222","08/09/2016",63,"Donovan","06-073-1014","AQS",73,44,"62","08/09/2002","08/09/2010"
"223","08/10/2016",61,"El Cajon - Lexington Elementary School","06-073-1022","AQS",73,46,"61","08/10/2018","08/10/2008"
