"Date","PM2.5 AQI Value","Site Name","Site ID","Source","20-year High (2000-2019)","20-year Low (2000-2019)","5-year Average (2015-2019)","Date of 20-year High","Date of 20-year Low"
"08/31/2018","59","Donovan","06-073-1014","AQS","76","31","64.6","08/31/2017","08/31/2000"
"09/01/2018","77","Donovan","06-073-1014","AQS","77","32","66.8","09/01/2018","09/01/2013"
"09/02/2018","74","Pala Airpad","06-073-1201","AQS","74","28","64.6","09/02/2018","09/02/2000"
"09/03/2018","69","Pala Airpad","06-073-1201","AQS","72","25","54","09/03/2010","09/03/2000"
"09/04/2018","62","Pala Airpad","06-073-1201","AQS","64","33","56.6","09/04/2017","09/04/2000"
"09/05/2018","60","Pala Airpad","06-073-1201","AQS","76","46","58.2","09/05/2002","09/05/2000"
"09/06/2018","39","El Cajon - Lexington Elementary School","06-073-1022","AQS","68","39","57","09/06/2008","09/06/2018"
"09/07/2018","50","Alpine","06-073-1006","AQS","71","38","59","09/07/2008","09/07/2002"
"09/08/2018","61","Donovan","06-073-1014","AQS","71","40","61.6","09/08/2008","09/08/2007"
"09/09/2018","69","Donovan","06-073-1014","AQS","76","31","66","09/09/2015","09/09/2010"
"09/10/2018","62","Donovan","06-073-1014","AQS","62","36","59.2","09/10/2018","09/10/2005"
"09/11/2018","65","Donovan","06-073-1014","AQS","67","36","60.4","09/11/2000","09/11/2005"
"09/12/2018","67","Donovan","06-073-1014","AQS","80","34","57.4","09/12/2000","09/12/2005"
"09/13/2018","45","Camp Pendleton","06-073-1008","AQS","80","39","50.4","09/13/2000","09/13/2016"
"09/14/2018","57","Donovan","06-073-1014","AQS","85","29","50.2","09/14/2008","09/14/2009"
"09/15/2018","56","Pala Airpad","06-073-1201","AQS","85","15","46","09/15/2008","09/15/2015"
"09/16/2018","53","Pala Airpad","06-073-1201","AQS","77","22","50","09/16/2000","09/16/2015"
"09/17/2018","52","Pala Airpad","06-073-1201","AQS","75","28","53.2","09/17/2008","09/17/2015"
"09/18/2018","45","Donovan","06-073-1014","AQS","78","37","55.8","09/18/2008","09/18/2014"
